year,penalty_goals,own_goals,open_play_goals,penalty_pct
1930,1,1,68,1.4
1934,3,0,67,4.3
1938,3,2,79,3.6
1950,3,0,85,3.4
1954,7,4,129,5.0
1958,7,0,119,5.6
1962,8,0,81,9.0
1966,8,2,79,9.0
1970,5,1,89,5.3
1974,6,3,88,6.2
1978,12,3,87,11.8
1982,8,1,137,5.5
1986,12,2,118,9.1
1990,13,0,102,11.3
1994,15,1,125,10.6
1998,17,6,148,9.9
2002,13,3,145,8.1
2006,13,4,130,8.8
2010,9,2,134,6.2
2014,12,5,154,7.0
2018,22,12,135,13.0
2022,17,2,153,9.9
